Date,Actual,Prediction,Residual,Month
2024-08-11,5894,5907.178733658564,-13.178733658563942,2024-08
2024-08-08,6084,6077.722069970877,6.277930029123127,2024-08
2024-08-07,6038,6041.5723577448925,-3.5723577448925425,2024-08
2024-08-06,5998,6009.248359278901,-11.248359278901262,2024-08
2024-08-05,5950,5959.218911323272,-9.21891132327164,2024-08
2024-08-04,5943,5945.19753479996,-2.1975347999596124,2024-08
2024-08-01,6016,6032.258535506159,-16.258535506159205,2024-08
2024-07-31,5963,5970.315985622188,-7.3159856221882364,2024-07
2024-07-30,5930,5942.035562220118,-12.035562220117754,2024-07
2024-07-29,5819,5808.297367368743,10.702632631257075,2024-07
2024-07-28,5743,5759.930259462762,-16.93025946276157,2024-07
2024-07-25,5954,5959.809598148339,-5.809598148339319,2024-07
2024-07-24,5927,5949.026986957389,-22.026986957389454,2024-07
2024-07-23,5965,5968.682537335095,-3.682537335094821,2024-07
2024-07-22,6002,5979.061403345679,22.938596654321373,2024-07
2024-07-21,6058,6041.896302513661,16.103697486339115,2024-07
2024-07-17,6228,6228.614790820288,-0.6147908202883627,2024-07
2024-07-16,6239,6248.009105214231,-9.009105214230658,2024-07
2024-07-15,6283,6277.955903305032,5.044096694968175,2024-07
2024-07-14,6308,6311.208363997115,-3.208363997115157,2024-07
2024-07-11,6640,6632.180505411256,7.819494588744419,2024-07
2024-07-10,6649,6637.905864538239,11.094135461760743,2024-07
2024-07-09,6651,6643.242265331891,7.757734668109151,2024-07
2024-07-08,6617,6624.482017316017,-7.482017316016936,2024-07
2024-07-07,6599,6555.561765151513,43.4382348484869,2024-07
2024-07-04,6790,6753.971333333334,36.02866666666614,2024-07
2024-07-02,6823,6809.366815476191,13.633184523809177,2024-07
2024-07-01,6825,6828.857083333333,-3.857083333333321,2024-07
2024-06-30,6874,6862.518317307692,11.481682692307913,2024-06
2024-06-27,7248,7192.7499626623385,55.250037337661524,2024-06
2024-06-26,7268,7254.912942821072,13.087057178928262,2024-06
2024-06-25,7239,7242.32927218615,-3.329272186149865,2024-06
2024-06-24,7239,7201.381847582972,37.618152417027886,2024-06
